# df_oferta
nombre_J	ubicacionesJ_x	ubicacionesJ_y	Ciudad
j01	7.127802	-73.113901	68001 - Bucaramanga
j21	k10	50	1	5	50	10	500	j21k10	Cuidados paliativos	68679 - San Gil
j22	k01	100	1	10	100	3	300	j22k01	Consulta general diagnóstico	68689 - San Vicente De Chucurí
j22	k02	80	1	8	80	10	800	j22k02	Mamografía y ecografía	68689 - San Vicente De Chucurí
j22	k03	50	1	5	50	4	200	j22k03	Consulta especializada	68689 - San Vicente De Chucurí
j22	k04	0	0	0	0	4	0	j22k04	Biopsia diagnóstico	68689 - San Vicente De Chucurí
j22	k05	0	0	0	0	4	0	j22k05	Patología diagnóstico	68689 - San Vicente De Chucurí
j22	k06	0	0	0	0	10	0	j22k06	Quimioterapia	68689 - San Vicente De Chucurí
j22	k07	0	0	0	0	10	0	j22k07	Radioterapia	68689 - San Vicente De Chucurí
j22	k08	0	0	0	0	10	0	j22k08	Hormonal	68689 - San Vicente De Chucurí
j22	k09	0	0	0	0	0	0	j22k09	Cirugía	68689 - San Vicente De Chucurí
j22	k10	100	1	10	100	10	1000	j22k10	Cuidados paliativos	68689 - San Vicente De Chucurí
j23	k01	80	1	8	80	3	240	j23k01	Consulta general diagnóstico	68755 - Socorro
j23	k02	80	1	8	80	10	800	j23k02	Mamografía y ecografía	68755 - Socorro
j23	k03	100	1	10	100	4	400	j23k03	Consulta especializada	68755 - Socorro
j23	k04	0	0	0	0	4	0	j23k04	Biopsia diagnóstico	68755 - Socorro
j23	k05	0	0	0	0	4	0	j23k05	Patología diagnóstico	68755 - Socorro
j23	k06	0	0	0	0	10	0	j23k06	Quimioterapia	68755 - Socorro
j23	k07	0	0	0	0	10	0	j23k07	Radioterapia	68755 - Socorro
j23	k08	0	0	0	0	10	0	j23k08	Hormonal	68755 - Socorro
j23	k09	0	0	0	0	0	0	j23k09	Cirugía	68755 - Socorro
j23	k10	50	1	5	50	10	500	j23k10	Cuidados paliativos	68755 - Socorro
j24	k01	30	1	3	30	3	90	j24k01	Consulta general diagnóstico	68770 - Suaita
j24	k02	0	0	0	0	10	0	j24k02	Mamografía y ecografía	68770 - Suaita
j24	k03	0	0	0	0	4	0	j24k03	Consulta especializada	68770 - Suaita
j24	k04	0	0	0	0	4	0	j24k04	Biopsia diagnóstico	68770 - Suaita
j24	k05	0	0	0	0	4	0	j24k05	Patología diagnóstico	68770 - Suaita
j24	k06	0	0	0	0	10	0	j24k06	Quimioterapia	68770 - Suaita
j24	k07	0	0	0	0	10	0	j24k07	Radioterapia	68770 - Suaita
j24	k08	0	0	0	0	10	0	j24k08	Hormonal	68770 - Suaita
j24	k09	0	0	0	0	0	0	j24k09	Cirugía	68770 - Suaita
j24	k10	0	0	0	0	10	0	j24k10	Cuidados paliativos	68770 - Suaita
j25	k01	30	1	3	30	3	90	j25k01	Consulta general diagnóstico	68861 - Vélez
j25	k02	0	0	0	0	10	0	j25k02	Mamografía y ecografía	68861 - Vélez
j25	k03	0	0	0	0	4	0	j25k03	Consulta especializada	68861 - Vélez
j25	k04	0	0	0	0	4	0	j25k04	Biopsia diagnóstico	68861 - Vélez
j25	k05	0	0	0	0	4	0	j25k05	Patología diagnóstico	68861 - Vélez
j25	k06	0	0	0	0	10	0	j25k06	Quimioterapia	68861 - Vélez
j25	k07	0	0	0	0	10	0	j25k07	Radioterapia	68861 - Vélez
j25	k08	0	0	0	0	10	0	j25k08	Hormonal	68861 - Vélez
j25	k09	0	0	0	0	0	0	j25k09	Cirugía	68861 - Vélez
j25	k10	0	0	0	0	10	0	j25k10	Cuidados paliativos	68861 - Vélez
j26	k01	30	1	3	30	3	90	j26k01	Consulta general diagnóstico	68895 - Zapatoca
j26	k02	0	0	0	0	10	0	j26k02	Mamografía y ecografía	68895 - Zapatoca
j26	k03	0	0	0	0	4	0	j26k03	Consulta especializada	68895 - Zapatoca
j26	k04	0	0	0	0	4	0	j26k04	Biopsia diagnóstico	68895 - Zapatoca
j26	k05	0	0	0	0	4	0	j26k05	Patología diagnóstico	68895 - Zapatoca
j26	k06	0	0	0	0	10	0	j26k06	Quimioterapia	68895 - Zapatoca
j26	k07	0	0	0	0	10	0	j26k07	Radioterapia	68895 - Zapatoca
j26	k08	0	0	0	0	10	0	j26k08	Hormonal	68895 - Zapatoca
j26	k09	0	0	0	0	0	0	j26k09	Cirugía	68895 - Zapatoca
j26	k10	0	0	0	0	10	0	j26k10	Cuidados paliativos	68895 - Zapatoca


# df_niveles
servicio_K	Servicio	sigma_max	d_o_k	d_o_k_antiguo
k01	Consulta general diagnóstico	55	400	400
k02	Mamografía y ecografía	60	400	450
k03	Consulta especializada	140	400	450
k04	Biopsia diagnóstico	85	400	500
k05	Patología diagnóstico	85	400	500
k06	Quimioterapia	70	400	600
k07	Radioterapia	75	400	600
k08	Hormonal	65	400	600
k09	Cirugía	75	400	600
k10	Cuidados paliativos	70	400	600


# df_demanda
nombre_I	servicio_K	ubicacionesI_x	ubicacionesI_y	demanda_i	Ciudad
i01	k01	7.111461	-73.117287	22	68001 - Bucaramanga
i02	k01	5.932603	-73.612437	1	68077 - Barbosa
i03	k01	6.635721	-73.223224	1	68079 - Barichara
i04	k01	7.067331	-73.852563	11	68081 - Barrancabermeja
